species_ID,Group,Order,Family,Genus,Species,subspecies,scientificName,variety,common_name,native_exotic,continent_of_origin,itis_tsn
2780,Amphibians-Frogs,Anura,Hylidae,Pseudacris,sierra,NULL,Pseudacris sierra,NULL,Sierran Chorus Frog,Native,North America,774548
2781,Amphibians-Frogs,Anura,Hylidae,Pseudacris,hypochondriaca,NULL,Pseudacris hypochondriaca,NULL,Baja California Treefrog,Native,North America,774546
2832,Amphibians-Frogs,Anura,Bufonidae,Incilius,nebulifer,NULL,Incilius nebulifer,NULL,Coastal Plain Toad,Native,North America,773583
2864,Amphibians-Frogs,Anura,Bombinatoridae,Bombina,orientalis,NULL,Bombina orientalis,NULL,Oriental Fire-bellied Toad,Exotic,Eurasia,661630
2865,Amphibians-Frogs,Anura,Microhylidae,Kaloula,pulchra,NULL,Kaloula pulchra,NULL,Malaysian Painted Frog,Exotic,Asia,664582
2866,Amphibians-Frogs,Anura,Hyperoliidae,Afrixalus,fornasini,NULL,Afrixalus fornasini,NULL,Fornasini's Spiny Reed Frog,Exotic,Africa,663035
2867,Amphibians-Frogs,Anura,Bufonidae,Duttaphrynus,melanostictus,NULL,Duttaphrynus melanostictus,NULL,Southeast Asian Toad,Exotic,Asia,773557
2888,Amphibians-Frogs,Anura,Hylidae,Litoria,fallax,NULL,Litoria fallax,NULL,Eastern Dwarf Treefrog,Exotic,Australia,662897
2889,Amphibians-Frogs,Anura,Rhacophoridae,Polypedates,megacephalus,NULL,Polypedates megacephalus,NULL,Hong Kong Whipping Frog,Exotic,Asia,665610
2890,Amphibians-Frogs,Anura,Ranidae,Hylarana,guentheri,NULL,Hylarana guentheri,NULL,Günther's Amoy Frog,Exotic,Asia,775024
2891,Amphibians-Frogs,Anura,Dicroglossidae,Fejervarya,cancrivora,NULL,Fejervarya cancrivora,NULL,Crab-Eating Frog,Exotic,Asia,664956
2892,Amphibians-Frogs,Anura,Dicroglossidae,Fejervarya,limnocharis,NULL,Fejervarya limnocharis,NULL,Rice Frog,Exotic,Asia,664962
2893,Amphibians-Frogs,anura,Microhylidae,Microhyla,pulchra,NULL,Microhyla pulchra,NULL,Marbled Pigmy Frog,Exotic,Asia,664610
151,Amphibians-Salamanders,Caudata,Ambystomatidae,Ambystoma,tigrinum,NULL,Ambystoma tigrinum,NULL,Eastern Tiger Salamander,Native,North America,173592
152,Amphibians-Salamanders,Caudata,Ambystomatidae,Ambystoma,mavortium,mavortium,Ambystoma mavortium mavortium,NULL,Barred Tiger Salamander,Native,North America,668593
153,Amphibians-Salamanders,Caudata,Ambystomatidae,Ambystoma,mavortium,melanostictum,Ambystoma mavortium melanostictum,NULL,Blotched Tiger Salamander,Native,North America,668591
154,Amphibians-Salamanders,Caudata,Plethodontidae,Desmognathus,quadramaculatus,NULL,Desmognathus quadramaculatus,NULL,Black-bellied Salamander,Native,North America,173642
155,Amphibians-Salamanders,Caudata,Plethodontidae,Desmognathus,santeetlah,NULL,Desmognathus santeetlah,NULL,Santeetlah Dusky Salamander,Native,North America,173643
156,Amphibians-Salamanders,Caudata,Proteidae,Necturus,maculosus,NULL,Necturus maculosus,NULL,Mudpuppy,Native,North America,173630
157,Amphibians-Salamanders,Caudata,Salamandridae,Cynops,pyrrhogaster,NULL,Cynops pyrrhogaster,NULL,Japanese Fire-bellied Salamander,Exotic,Asia,668367
158,Amphibians-Salamanders,Caudata,Salamandridae,Notophthalmus,viridescens,viridescens,Notophthalmus viridescens viridescens,NULL,Red-spotted Newt,Native,North America,173616
159,Amphibians-Salamanders,Caudata,Salamandridae,Taricha,granulosa,NULL,Taricha granulosa,NULL,Rough-skinned Newt,Native,North America,173620
2799,Amphibians-Salamanders,Caudata,Ambystomatidae,Ambystoma,macrodactylum,NULL,Ambystoma macrodactylum,NULL,Long-toed Salamander,Native,North America,173601
2846,Amphibians-Salamanders,Caudata,Sirenidae,Siren,intermedia,NULL,Siren intermedia,NULL,Lesser Siren,Native,North America,173736
2861,Amphibians-Salamanders,Caudata,Salamandridae,Cynops,orientalis,NULL,Cynops orientalis,NULL,Oriental Fire-bellied Newt,Exotic,Asia,668365
2862,Amphibians-Salamanders,Caudata,Salamandridae,Pachytriton,labiatus,NULL,Pachytriton labiatus,NULL,Paddle-Tail Newt,Exotic,Asia,668380
2863,Amphibians-Salamanders,Caudata,Amphiumidae,Amphiuma,tridactylum,NULL,Amphiuma tridactylum,NULL,Three-toed Amphiuma,Native,North America,173612
